Name,Value
GUI_chargePortDoorRequest,false
GUI_chargePortUnlockRequest,false
GUI_chargeSessionActive,false
GUI_chargeSessionAlerts,GTW_d001_versionMismatch,GTW_d007_chgMia,GTW_d009_bmsMia,GTW_d012_bdyMia,TAS_a221_valveLeakDetected,APS_w057_mcuMia,APP_w057_mcuMia,+APP_w033_gtwMia
GUI_chargeSessionChargerType,AC
GUI_chargeSessionIdealEnergyAdded,6.580
GUI_chargeSessionIdealStartEnergy,55.721
GUI_chargeSessionMaxCurrent,15.800
GUI_chargeSessionMaxPower,5.432
GUI_chargeSessionPhases,1
GUI_chargeSessionStartSOE,80.521
