Name,Value
FEATURE_dasLaneSupportSystemEnabled,false
FEATURE_dasNoConfirmULCEnabled,false
FEATURE_driverProfilesEnabled,true
FEATURE_earlyWaveCellNetworkingOk,false
FEATURE_eggWotEnabled,false
FEATURE_homelinkEnabled,true
FEATURE_laneDepartureWarningEnabled,true
FEATURE_mobileAccessEnabled,true
FEATURE_navigationEnabled,true
FEATURE_navigationServiceConfig,
FEATURE_navigationServiceMode,primary
FEATURE_navigationServiceURL,
FEATURE_odinHrlDailyMb,0
FEATURE_parkAssistEnabled,true
FEATURE_paymentNeeded,false
FEATURE_satelliteMapTilesEnabled,true
FEATURE_streamingRadioEnabled,true
FEATURE_superchargingEnabled,true
FEATURE_trafficMapTilesEnabled,true
FEATURE_tvoiceDisabled,true
FEATURE_vectorMapTilesEnabled,true
FILESYNC_status,{"nav_us":{"state":"idle","pct":0,"rsync_exit_code":-2,"current_version":"NA-180906-1605","target_version":"NA-180906-1605"}}
FILESYNC_toolboxTrigger,""
GMAP_cachedLoadCounter,0
GMAP_networkLoadCounter,0
GTW_chargeState,Disconnected
GTW_offboardUpdateState,WaitConnection
GTW_offboardUpdateStatus,Ok
GUI_007Mode,false
GUI_24hourTime,false
GUI_AutopilotTrialEndHard,@invalid
GUI_AutopilotTrialEndSoft,@invalid
GUI_AutopilotTrialOptedOut,false
GUI_AutopilotTrialVersion,@invalid
GUI_HoHoHoMode,0
GUI_PINToDriveEnabled,false
GUI_PINToDrivePassed,true
GUI_PINToDriveRequest,false
GUI_ROBenableRadarBraking,Default
GUI_ROBinfrastructure,Default
GUI_ROBtrustRadarMap,Default
GUI_STWControlsMode,Normal
GUI_TPMSFrontRCPOverride,@invalid
GUI_TPMSOverrideResult,None
GUI_TPMSRearRCPOverride,@invalid
GUI_UMCUpdateInhibit,false
GUI_USBError,false
GUI_WCUpdateInhibit,true
GUI_accFollowDistance,3
GUI_accFromZero,false
GUI_accOvertakeOnRequest,true
GUI_acceptedTelemetryAgreement,true
GUI_activeApps,@nav
GUI_activeDestinationIsSupercharger,false
GUI_activeDestinationLocation,@invalid
GUI_activeGame,@invalid
GUI_activeHeatingDurationMinutes,0.000
GUI_activeHeatingEnabledForTrip,false
GUI_activeHeatingEnergyConsumption,0.000
GUI_activePackHeatingRequest,false
GUI_adaptiveHeadlightsRequest,true
GUI_adaptiveRideRequest,@invalid
GUI_adasCurvatureLog,false
GUI_aebDisabled,false
GUI_alarmOnRequest,true
GUI_alcOffHighwayEnable,true
GUI_alertCount,0
GUI_allReady,true
GUI_alwaysShowRecentChargers,false
GUI_alwaysShowSCWVisualization,false
GUI_anonDebugFlag1,false
GUI_anonDebugFlag2,false
GUI_anonDebugFlag3,false
GUI_anonDebugFlag4,false
GUI_anonDebugParam1,0
GUI_anonDebugParam2,0
GUI_anonDebugParam3,0
GUI_anonDebugParam4,0
GUI_anonDebugParam5,0
GUI_anonDebugParam6,0
GUI_anonDebugParam7,0
GUI_apTrialExpiredAlert,false
GUI_apmv3Branch,Live
GUI_appUptime,168059
GUI_applyEceR79,false
GUI_approachLightingRequest,true
GUI_audioReady,true
GUI_audioVolume,2.667
GUI_audioVolumeIncrement,0.333
GUI_audioVolumeMax,10.333
GUI_autoAdjustBacklight,true
GUI_autoDoorLockOnRequest,true
GUI_autoEmergencyBrakingOffRequest,false
GUI_autoFoldMirrors,true
GUI_autoHiLoBeamOnRequest,true
GUI_autoHighBeamNetwork,false
GUI_autoLaneChangeOnRequest,false
GUI_autoParkRequest,Search
GUI_autoPresentDoorsRequest,false
GUI_autoPresentHandlesRequest,true
GUI_autoSummonReady,false
GUI_autoSummonState,Off
GUI_autoparkAllowCrossPark,true
GUI_autoparkAllowPOC,false
GUI_autoparkAllowVirtualCurb,false
GUI_autoparkStatus,Idle
GUI_autopilotAlwaysOn,false
GUI_autopilotClusterDebug,false
GUI_autopilotControlRequest,NextGen
GUI_autopilotReboot,false
GUI_autopilotTrialRequest,None
GUI_autosteerDisabled,false
GUI_autosteerOnRequest,true
GUI_avoidFerries,false
GUI_avoidHighways,false
GUI_avoidTollRoads,true
GUI_backlightAdjustmentMode,Dynamic
GUI_backlightClusterOffset,0
GUI_backlightRequest,27
GUI_backlightUserRequest,27
GUI_backupCameraDisable,false
GUI_backupCameraInitError,false
GUI_backupCameraLoadTime,-1
GUI_backupCameraStreamError,false
GUI_backupCameraStreamFrameTimeout,false
GUI_backupCameraStreamIPUTimeout,false
GUI_bccenResetRequest,false
GUI_bcfalcdResetRequest,false
GUI_bcfalcpResetRequest,false
GUI_bcfdmResetRequest,false
GUI_bcfpmResetRequest,false
GUI_bcs2cResetRequest,false
GUI_bcs2lResetRequest,false
GUI_bcs2rResetRequest,false
GUI_biohazardOnRequest,false
GUI_blindSpotAssistOnRequest,true
GUI_blinkerRequest,false
GUI_browserLocale,en_US
GUI_browserTranslationFile,
GUI_cabinOverheatProtection,Off
GUI_cameraFlip,false
GUI_cameraHardwareOK,false
GUI_cameraHardwarePowerOffRequest,false
GUI_cameraPowerRequest,@invalid
GUI_canUseInternet,true
GUI_carColorOverride,@invalid
GUI_cdBoardTemp,42.000
